Column,Signal Timestamp,Size,Entry Timestamp,Exit Timestamp,Avg Entry Price,Avg Exit Price,entry_cost,proceeds,PnL,Return [%],Duration,Exit Reason,Day Trade
TRON,2025-07-11,189,2025-07-14,2025-07-15,6.4,7.020499999999999,1210.8096,1325.5476254999999,114.73802549999982,9.476141046453534,1,trailing_stop,False
PRCH,2025-07-11,103,2025-07-14,2025-07-15,12.18,11.9035,1255.7945399999999,1224.8344395,-30.960100499999953,-2.465379448138061,1,trailing_stop,False
SBET,2025-07-15,36,2025-07-16,2025-07-17,33.8,37.126,1218.0167999999999,1335.1994639999998,117.18266399999993,9.620775674030103,1,trailing_stop,False
TRON,2025-07-15,164,2025-07-16,2025-07-17,7.8,10.4405,1280.4792,1710.529758,430.0505579999999,33.58512641204949,1,trailing_stop,False
AER,2025-05-08,7,2025-05-09,2025-07-18,108.92,111.701,763.20244,781.1250929999999,17.922652999999855,2.3483484932254495,70,trailing_stop,False
SBET,2025-07-17,38,2025-07-18,2025-07-21,36.95,38.432249999999996,1405.5040999999999,1458.9650745,53.46097450000002,3.8036868408992897,3,trailing_stop,False
PRCH,2025-07-17,99,2025-07-18,2025-07-22,13.15,13.262,1303.15185,1311.625062,8.473212000000103,0.6502091064828797,4,trailing_stop,False
TRON,2025-07-18,126,2025-07-21,2025-07-22,10.1,10.554499999999999,1273.8725999999997,1328.537133,54.66453300000035,4.2912087912088115,1,trailing_stop,False
ASST,2025-07-21,15,2025-07-22,2025-07-23,88.4,86.07,1327.3259999999998,1289.75895,-37.56704999999988,-2.830280579149347,1,trailing_stop,False
PRCH,2025-07-22,111,2025-07-23,2025-07-24,13.52,13.623,1502.2207199999998,1510.6408470000001,8.42012700000032,0.5605119732338792,1,trailing_stop,False
SBET,2025-07-22,57,2025-07-23,2025-07-24,26.435,25.441,1508.3017949999996,1448.686863,-59.614931999999726,-3.952453825727875,1,trailing_stop,False
ASST,2025-07-23,13,2025-07-24,2025-07-25,96.6,91.865,1257.0557999999999,1193.050755,-64.00504499999988,-5.09166299538969,1,trailing_stop,False
SBET,2025-07-24,54,2025-07-25,2025-07-28,24.77,23.740499999999997,1338.9175799999998,1280.7050129999998,-58.212567000000035,-4.3477334131351135,3,trailing_stop,False
NVTS,2025-07-24,147,2025-07-25,2025-07-28,8.875,8.739999999999998,1305.9296249999998,1283.4952199999998,-22.43440499999997,-1.7178877460567565,3,trailing_stop,False
ASST,2025-07-25,16,2025-07-28,2025-07-29,82.2,79.268,1316.5151999999998,1267.019712,-49.495487999999796,-3.759583482211204,1,trailing_stop,False
NVTS,2025-07-28,155,2025-07-29,2025-07-30,8.45,8.0845,1311.05975,1251.8444025000001,-59.21534749999978,-4.516601741453796,1,trailing_stop,False
TRON,2025-07-28,122,2025-07-29,2025-07-30,10.3,10.1365,1257.8566,1235.416347,-22.440252999999984,-1.784007254881037,1,trailing_stop,False
ASST,2025-07-29,17,2025-07-30,2025-07-31,69.6,67.64,1184.3831999999998,1148.7301200000002,-35.65307999999959,-3.010265596472461,1,trailing_stop,False
