Column,Signal Timestamp,Size,Entry Timestamp,Exit Timestamp,Avg Entry Price,Avg Exit Price,entry_cost,proceeds,PnL,Return [%],Duration,Exit Reason,Day Trade
SPRB,2025-10-15,90,2025-10-16,2025-10-16,161.1,153.045,14513.498999999998,13760.27595,-753.2230499999987,-5.189810189810185,0,trailing_stop,True
WOLF,2025-10-15,443,2025-10-16,2025-10-17,32.69,32.679905,14496.151669999997,14462.720717085,-33.43095291499776,-0.2306195028587088,1,trailing_stop,False
ORBS,2025-10-16,1624,2025-10-17,2025-10-17,8.68,8.245999999999999,14110.416319999998,13378.112495999998,-732.3038240000005,-5.189810189810196,0,trailing_stop,True
SPRB,2025-10-16,90,2025-10-17,2025-10-20,155.77,151.44216,14033.3193,13616.1646056,-417.15469439999833,-2.9726017450482867,3,trailing_stop,False
WOLF,2025-10-17,441,2025-10-20,2025-10-20,31.6,30.02,13949.5356,13225.58118,-723.95442,-5.189810189810196,0,trailing_stop,True
ORBS,2025-10-17,1586,2025-10-20,2025-10-20,8.8,8.36,13970.7568,13245.70104,-725.0557599999993,-5.189810189810185,0,trailing_stop,True
SPRB,2025-10-20,90,2025-10-21,2025-10-21,148.0,140.6,13333.319999999998,12641.346,-691.9739999999983,-5.189810189810173,0,trailing_stop,True
ORBS,2025-10-20,1530,2025-10-21,2025-10-21,8.75,8.3125,13400.887499999999,12705.406875,-695.4806249999983,-5.189810189810173,0,trailing_stop,True
WOLF,2025-10-20,441,2025-10-21,2025-10-22,30.25,29.677999999999997,13353.59025,13074.910001999999,-278.6802480000006,-2.086931250567614,1,trailing_stop,False
SPRB,2025-10-21,98,2025-10-22,2025-10-22,128.54,138.8232,12609.516919999998,13591.068926400001,981.5520064000029,7.784215784215798,0,take_profit,True
ORBS,2025-10-21,1803,2025-10-22,2025-10-22,7.06,6.706999999999999,12741.909179999997,12080.628278999997,-661.2809010000001,-5.189810189810196,0,trailing_stop,True
SPRB,2025-10-22,94,2025-10-23,2025-10-23,136.91,130.06449999999998,12882.409539999997,12213.836936999998,-668.5726029999987,-5.189810189810185,0,trailing_stop,True
ORBS,2025-10-22,2031,2025-10-23,2025-10-23,6.37,6.0515,12950.407469999998,12278.305903499999,-672.1015664999995,-5.189810189810185,0,trailing_stop,True
SPRB,2025-10-23,93,2025-10-24,2025-10-27,131.03,130.511,12197.97579,12125.385477,-72.5903130000006,-0.5951013040992437,3,trailing_stop,False
ORBS,2025-10-23,1881,2025-10-24,2025-10-27,6.53,6.507404999999999,12295.21293,12228.188376195,-67.02455380500032,-0.5451272311149835,3,trailing_stop,False
WOLF,2025-10-22,435,2025-10-23,2025-10-28,29.66,30.380905,12915.0021,13202.477981324999,287.47588132499914,2.225906578249792,5,trailing_stop,False
SPRB,2025-10-27,92,2025-10-28,2025-10-28,131.54,124.96299999999998,12113.781679999996,11485.099403999997,-628.6822759999995,-5.189810189810185,0,trailing_stop,True
ORBS,2025-10-27,1940,2025-10-28,2025-10-28,6.3,5.984999999999999,12234.221999999998,11599.2891,-634.932899999998,-5.189810189810173,0,trailing_stop,True
SPRB,2025-10-28,99,2025-10-29,2025-10-29,121.41,115.33949999999999,12031.609589999998,11407.191889499998,-624.4177005000001,-5.189810189810196,0,trailing_stop,True
ORBS,2025-10-28,2117,2025-10-29,2025-10-29,5.75,5.4624999999999995,12184.922749999998,11552.548387499999,-632.3743624999988,-5.189810189810185,0,trailing_stop,True
WOLF,2025-10-28,389,2025-10-29,2025-10-30,31.0,30.390499999999996,12071.059,11810.082595499998,-260.9764045000011,-2.162000902323491,1,trailing_stop,False
SPRB,2025-10-29,98,2025-10-30,2025-10-30,116.0,110.19999999999999,11379.367999999999,10788.800399999998,-590.5676000000003,-5.189810189810196,0,trailing_stop,True
ORBS,2025-10-29,2291,2025-10-30,2025-10-30,5.05,4.797499999999999,11581.119549999998,10980.081427499998,-601.0381225000001,-5.189810189810196,0,trailing_stop,True
SPRB,2025-10-30,104,2025-10-31,2025-10-31,107.26,101.897,11166.19504,10586.690712,-579.5043280000009,-5.189810189810196,0,trailing_stop,True
WOLF,2025-10-30,430,2025-10-31,2025-11-03,26.0,26.4575,11191.179999999998,11365.348275,174.1682750000018,1.5562994697610355,3,trailing_stop,False
PL,2025-10-30,870,2025-10-31,2025-11-03,12.89,13.043405,11225.5143,11336.414587649999,110.90028764999806,0.9879305721431253,3,trailing_stop,False
SPRB,2025-10-31,97,2025-11-03,2025-11-03,109.0,103.55,10583.572999999999,10034.30565,-549.2673499999983,-5.189810189810173,0,trailing_stop,True
WOLF,2025-11-03,465,2025-11-04,2025-11-04,23.5,22.325,10938.427499999998,10370.743875,-567.6836249999978,-5.189810189810173,0,trailing_stop,True
SATS,2025-10-16,195,2025-10-17,2025-11-05,72.21,72.2095,14095.030949999997,14066.771647500002,-28.2593024999951,-0.20049124120579132,19,trailing_stop,False
SPRB,2025-11-03,106,2025-11-04,2025-11-05,101.96,103.5595,10818.56776,10966.329693000001,147.7619330000016,1.365817881608411,1,trailing_stop,False
PL,2025-11-03,861,2025-11-04,2025-11-05,12.73,12.844,10971.49053,11047.625316,76.13478600000053,0.6939329327389165,1,trailing_stop,False
WOLF,2025-11-04,480,2025-11-05,2025-11-05,21.6,20.52,10378.367999999999,9839.7504,-538.6175999999978,-5.189810189810173,0,trailing_stop,True
SPRB,2025-11-05,95,2025-11-06,2025-11-06,120.0,114.0,11411.4,10819.17,-592.2299999999996,-5.189810189810185,0,trailing_stop,True
WOLF,2025-11-05,572,2025-11-06,2025-11-06,20.08,19.075999999999997,11497.245759999998,10900.560527999998,-596.6852319999998,-5.189810189810185,0,trailing_stop,True
PL,2025-11-05,888,2025-11-06,2025-11-06,13.01,12.359499999999999,11564.432879999998,10964.260763999999,-600.1721159999997,-5.189810189810185,0,trailing_stop,True
SATS,2025-11-05,158,2025-11-06,2025-11-07,72.4,69.63499999999999,11450.6392,10991.327669999999,-459.31153000000086,-4.0112304822249705,1,trailing_stop,False
BETR,2025-11-06,191,2025-11-07,2025-11-07,56.99,54.140499999999996,10895.975089999998,10330.4946645,-565.4804254999981,-5.189810189810173,0,trailing_stop,True
SPRB,2025-11-06,91,2025-11-07,2025-11-10,119.0,121.96099999999998,10839.828999999998,11087.352549,247.52354900000137,2.2834635952283078,3,trailing_stop,False
WOLF,2025-11-06,619,2025-11-07,2025-11-10,17.61,18.002405,10911.49059,11132.345206305,220.8546163050014,2.0240554164745017,3,trailing_stop,False
BETR,2025-11-07,165,2025-11-10,2025-11-10,64.62,61.389,10672.9623,10119.055815000002,-553.9064849999977,-5.189810189810173,0,trailing_stop,True
SPRB,2025-11-10,90,2025-11-11,2025-11-11,118.81,112.8695,10703.592899999998,10148.096745,-555.4961549999971,-5.189810189810162,0,trailing_stop,True
WOLF,2025-11-10,600,2025-11-11,2025-11-11,18.02,17.119,10822.811999999998,10261.1286,-561.6833999999981,-5.189810189810173,0,trailing_stop,True
PL,2025-11-10,820,2025-11-11,2025-11-11,13.2,12.54,10834.823999999999,10272.517199999998,-562.3068000000003,-5.189810189810196,0,trailing_stop,True
SATS,2025-11-07,144,2025-11-10,2025-11-12,73.93,70.61824999999999,10656.565920000001,10158.858971999998,-497.70694800000274,-4.670425273360513,2,trailing_stop,False
SPRB,2025-11-11,86,2025-11-12,2025-11-12,117.79,111.9005,10140.06994,9613.819556999999,-526.2503830000005,-5.189810189810196,0,trailing_stop,True
WOLF,2025-11-11,588,2025-11-12,2025-11-12,17.44,18.835200000000004,10264.97472,11064.022502400003,799.0477824000027,7.78421578421582,0,take_profit,True
AXTI,2025-11-11,974,2025-11-12,2025-11-12,10.54,11.3832,10276.225959999998,11076.1495632,799.9236032000026,7.78421578421582,0,take_profit,True
WOLF,2025-11-12,547,2025-11-13,2025-11-13,19.12,18.164,10469.09864,9925.772292,-543.3263480000005,-5.189810189810196,0,trailing_stop,True
INBX,2025-11-12,143,2025-11-13,2025-11-13,73.0,78.84,10449.438999999998,11262.84588,813.4068800000023,7.784215784215798,0,take_profit,True
AXTI,2025-11-12,976,2025-11-13,2025-11-13,10.79,10.250499999999999,10541.571039999997,9994.483511999999,-547.0875279999982,-5.189810189810173,0,trailing_stop,True
