trade_date,portfolio_value
2025-09-26,84807.79089046535
2025-09-29,84737.10648946534
2025-09-30,84045.76631826533
2025-10-01,85183.68001946533
2025-10-02,84146.10537396533
2025-10-03,84074.63832396534
2025-10-06,86690.03207066534
2025-10-07,84843.74888316535
2025-10-08,85643.96049316536
2025-10-09,83913.46899616535
2025-10-10,80976.32492466536
2025-10-13,81170.89119316537
2025-10-14,80862.06713790036
2025-10-15,79495.19387827537
2025-10-16,77491.52373227537
2025-10-17,77049.22037536037
2025-10-20,75357.72480096038
2025-10-21,73825.15992596038
2025-10-22,73698.01103336038
2025-10-23,72452.68476386038
2025-10-24,72639.33604386037
2025-10-27,73143.76989705538
2025-10-28,71716.78270238038
2025-10-29,70499.14163938037
2025-10-30,68566.50851238037
2025-10-31,68922.85988438038
2025-11-03,68136.45539703038
2025-11-04,67546.35348203038
2025-11-05,66710.17253853039
2025-11-06,64598.54599053039
2025-11-07,64813.02364503039
2025-11-10,63748.248995335394
2025-11-11,61739.0326403354
2025-11-12,62732.2426149354
2025-11-13,62619.01017893541
2025-11-14,62479.842278935415
2025-11-17,62229.3878609354
2025-11-18,63384.33918093541
2025-11-19,62760.5499209354
2025-11-20,61274.16996393541
2025-11-21,61668.31352393541
2025-11-24,61855.68503393541
2025-11-25,62222.781059770416
2025-11-26,63263.53587977042
2025-11-28,62513.06988852042
2025-12-01,61115.853557900424
2025-12-02,60135.753807400426
2025-12-03,60442.648277400425
2025-12-04,61740.62725900042
2025-12-05,62472.32406260044
2025-12-08,63267.93079860044
2025-12-09,63917.62214060044
2025-12-10,64648.04232610045
2025-12-11,65134.84128610045
2025-12-12,65086.985091900446
2025-12-15,64158.61335540045
2025-12-16,63699.54039440046
2025-12-17,63415.994083190446
2025-12-18,63301.576118190445
2025-12-19,64400.04000819045
2025-12-22,64242.88059119046
2025-12-23,64518.833841190455
2025-12-24,64662.89199759046
2025-12-26,64290.70607759046
2025-12-29,65843.24197999046
2025-12-30,65605.13996249046
2025-12-31,65269.33116249046
2026-01-02,64763.67306093046
2026-01-05,64793.570249430464
2026-01-06,64669.395852930465
2026-01-07,65740.37350293047
2026-01-08,65010.80205667547
2026-01-09,64282.066100675474
2026-01-12,64290.04191067548
2026-01-13,64683.35751067548
2026-01-14,64905.52713267548
2026-01-15,64610.81713267548
2026-01-16,63671.156746675486
2026-01-20,62979.864119175494
2026-01-21,62739.12304917548
2026-01-22,61785.01626417549
2026-01-23,61077.54451417549
2026-01-26,61468.72453667549
2026-01-27,61799.62998667549
2026-01-28,60938.02792432549
2026-01-29,60579.558304325496
2026-01-30,60546.1682548255
2026-02-02,62281.8168404255
2026-02-03,62709.036941425504
2026-02-04,61251.8003940255
2026-02-05,60651.6630085255
2026-02-06,61749.4660393255
2026-02-09,61854.61903932551
2026-02-10,62082.11219582551
2026-02-11,61576.92456482551
2026-02-12,62409.77819737551
2026-02-13,61116.03081437552
2026-02-17,62025.39714387551
2026-02-18,61719.64001387552
2026-02-19,62005.64887467552
2026-02-20,62179.05637467552
2026-02-23,62299.12326506553
2026-02-24,64631.05399586553
2026-02-25,65637.82922186554
2026-02-26,64971.80930236553
2026-02-27,65178.172474365536
2026-03-02,64287.908929615536
2026-03-03,63476.48953911554
2026-03-04,64196.342749115545
2026-03-05,63050.35430086554
2026-03-06,63416.75136086555
2026-03-09,62770.787730865544
2026-03-10,62986.11951086555
2026-03-11,62535.66644986555
2026-03-12,61599.567459865546
2026-03-13,61793.044329865545
2026-03-16,61593.41910486555
2026-03-17,62329.45473046555
2026-03-18,62138.59028246555
2026-03-19,62265.134023965555
2026-03-20,61453.03612646555
2026-03-23,61586.08838646556
2026-03-24,61388.80942396556
2026-03-25,62168.798163165564
2026-03-26,62116.55752316557
2026-03-27,61801.85049292556
2026-03-30,62201.48279292557
2026-03-31,62307.062792925564
2026-04-01,62120.212792925566
2026-04-02,62154.27279292556
2026-04-06,61837.79279292557
2026-04-07,61835.48279292557
2026-04-08,61846.132792925564
2026-04-09,61844.25279292557
2026-04-10,61954.882792925564
2026-04-13,62166.98279292556
2026-04-14,62131.952792925564
2026-04-15,61980.18279292557
2026-04-16,61994.91279292557
2026-04-17,62010.05279292556
